date,cost_STATIC,delta_d_STATIC,cost_PRICE_ONLY,delta_d_PRICE_ONLY,gain_PRICE_ONLY_pct,cost_NO_BATTERY,delta_d_NO_BATTERY,gain_NO_BATTERY_pct,cost_NO_SOAK,delta_d_NO_SOAK,gain_NO_SOAK_pct,cost_FULL,delta_d_FULL,gain_FULL_pct
2025-03-10,7.4955,24,5.1442,24,31.4,4.6697,24,9.2,7.5705,24,-62.1,7.5705,24,0.0
2025-03-17,9.1997,24,6.1494,24,33.2,5.9307,24,3.6,7.7295,24,-30.3,7.7295,24,0.0
2025-04-07,3.2773,24,1.9964,24,39.1,1.6512,24,17.3,1.6315,24,1.2,2.0863,24,-27.9
2025-04-15,11.1249,24,6.2977,24,43.4,6.1794,24,1.9,8.1874,24,-32.5,8.1874,24,0.0
2025-04-21,10.3172,24,6.6257,24,35.8,6.3548,24,4.1,10.4765,24,-64.9,10.4765,24,0.0
2025-05-05,8.6208,24,4.4308,24,48.6,3.9051,24,11.9,5.8888,24,-50.8,5.8888,24,0.0
