date,price_mean,price_max,price_min,naive_cost,throttle_cost,tou_cost,cti_cost,cti_vs_naive,cti_vs_throttle,cti_vs_tou,cti_decisions,cti_curtailment_captured
2025-03-10,35.07,74.52,-12.53,15351,20941,17047,1371,91.1,93.5,92.0,138,41.7
2025-03-17,30.6,63.57,-7.48,12437,16715,13978,1206,90.3,92.8,91.4,141,63.0
2025-04-07,14.99,44.8,-15.56,8695,10982,9569,4831,44.4,56.0,49.5,122,31.7
2025-04-15,25.99,49.29,3.6,10266,13344,11181,1065,89.6,92.0,90.5,138,80.0
2025-04-21,17.87,47.73,-13.19,9034,11312,9661,2136,76.4,81.1,77.9,138,31.7
2025-05-05,30.38,43.25,14.73,9908,13022,10683,3250,67.2,75.0,69.6,138,80.0
